filtered_text,Label,text_length,presence_of_digit
ok lar i double check wif da hair dresser already he said wun cut v short he said will cut until i look nice,0,24,0
as a valued customer i am pleased to advise you that following recent review of your mob no you are awarded with a bonus prize call 09066364589,1,27,1
today is dedicated day which song will u dedicate for me send this to all ur valuable frnds but first rply me,0,22,0
urgent ur awarded a complimentary trip to eurodisinc trav aco and entry41 or to claim txt dis to 87121 18 6 50 morefrmmob shracomorsglsuplt 10 ls1 3aj,1,27,8
did you hear about the new it comes with all of stuff,1,12,0
i plane to give on this month end,0,8,0
wah lucky man then can save money hee,0,8,0
finished class where are you,0,5,0
hi babe im at home now wanna do something xx,0,10,0
k k where are you how did you performed,0,9,0
u can call me now,0,5,0
i am waiting machan call me once you free,0,9,0
thats cool i am a gentleman and will treat you with dignity and respect,0,14,0
i like you peoples very much but am very shy pa,0,11,0
does not operate after and lt and gt or what,0,10,0
its not the same here still looking for a job how much do earn there,0,15,0
sorry i will call later,0,5,0
k did you call me just now ah,0,8,0
ok i am on the way to home hi hi,0,10,0
you will be in the place of that man,0,9,0
yup next stop,0,3,0
i call you later do not have network if urgnt sms me,0,12,0
for real when u getting on yo i only need 2 more tickets and one more jacket and ii am done i already used all my multis,0,27,1
yes i started to send requests to make it but pain came back so ii am back in bed double coins at the factory too i gotta cash in all my nitros,0,32,0
ii am really not up to it still tonight babe,0,10,0
ela kano il download come wen ur free,0,8,0
yeah do stand to close catch something,0,7,0
sorry to be a pain is it ok if we meet another night i spent late afternoon in casualty and that means i done any of y stuff42moro and that includes all my time sheets and that sorry,0,38,1
smile in pleasure smile in pain smile when trouble pours like rain smile when sum1 hurts u smile becoz someone still loves to see u smiling,0,26,1
please call our customer service representative on 0800 169 6031 between as you have won a guaranteed cash or prize,1,20,3
havent planning to buy later i check already lido only got 530 show in e afternoon u finish work already,0,20,1
your free ringtone is waiting to be collected simply text the password to 85069 to verify get usher and britney fml,1,21,1
watching telugu movie wat abt u,0,6,0
i see when we finish we have loads of loans to pay,0,12,0
hi wk been ok on hols now yes on for a bit of a run forgot that i have hairdressers appointment at four so need to get home n shower beforehand does that cause prob for u ham,0,38,0
please do not text me anymore i have nothing else to say,0,12,0
okay name ur price as long as its legal wen can i pick them up y u ave x ams xx,0,21,0
ii am still looking for a car to buy and have not gone 4the driving test yet,0,17,1
as per your request i amelle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press 9 to copy your friends callertune,0,27,1
wow right i mean to do that i guess once i gave up on boston men and changed my search location to nyc something changed cuz on my signin page it still says boston,0,34,0
umma my life and vava umma love you lot dear,0,10,0
thanks a lot for your wishes on my birthday thanks you for making my birthday truly memorable,0,17,0
aight i will hit you up when i get some cash,0,11,0
how would my ip address test that considering my computer is not a minecraft server,0,15,0
i know grumpy old people my mom was like you better not be lying then again i am always the one to play jokes,0,24,0
dont worry i guess busy,0,5,0
what is the plural of the noun research,0,8,0
going for dinner msg you after,0,6,0
ii am ok wif it cos i like 2 try new things but i scared u dun like mah cos u said not too loud,0,25,1
gent we are trying to contact you last weekends draw shows that you won a prize guaranteed call 09064012160 claim code k52 valid 12hrs only 150ppm,1,26,4
wa ur openin sentence very formal anyway ii am fine too juz tt ii am eatin too much n puttin on weight haha so anythin special happened,0,27,0
as i entered my cabin my pa said happy b woulday boss i felt special she askd me 4 lunch after lunch she invited me to her apartment we went there,0,31,1
you are a winner u have been specially selected 2 receive or a 4 holiday flights inc speak to a live operator 2 claim 0871277810910p min 18,1,27,5
goodo yes we must speak friday ratio for tortilla needed,0,10,0
hmm my uncle just informed me that paying the school directly so pls buy food,0,15,0
private your 2004 account statement for 07742676969 shows 786 unredeemed bonus points to claim call 08719180248 identifier code 45239 expires,1,20,5
urgent your mobile no was awarded bonus caller prize on 5 9 03 this is our final try to contact u call from landline 09064019788 box42wr29c 150ppm,1,27,7
here is my new address and pairs and all that malarky,0,11,0
todays voda numbers ending 7548 are selected to receive a 350 award if you have a match please call 08712300220 quoting claim code 4041 standard rates app,1,27,4
i am going to sao mu today will be done only at 12,0,13,1
predict wat time will finish buying,0,6,0
good stuff will do,0,4,0
just so that you know yetunde sent money yet i just sent her a text not to bother sending so its over you dont have to involve yourself in anything i should not have imposed anything on you in the first place so for that i apologise,0,47,0
are you there in room,0,5,0
hey girl how r u hope u r well me an del r bak again long time no c give me a call sum time from lucyxx,0,27,0
k k how much does it cost,0,7,0
ii am home,0,3,0
dear will call tmorrow pls accomodate,0,6,0
first answer my question,0,4,0
sunshine quiz wkly q win a top sony dvd player if u know which country the algarve is in txt ansr to 82277 50 sp tyrone,1,26,2
want 2 get laid tonight want real dogging locations sent direct 2 ur mob join the largest dogging network bt txting gravel to 69888 nt ec2a 31p msg 150p,1,29,6
i only haf msn yijue hotmail com,0,7,0
he is there you call and meet him,0,8,0
no no i will check all rooms befor activities,0,9,0
you will not rcv any more msgs from the chat svc for free hardcore services text go to 69988 if u get nothing u must age verify with yr network and try again,1,33,1
got c i lazy to type i forgot in lect i saw a pouch but like not v nice,0,19,0
k text me when on the way,0,7,0
sir waiting for your mail,0,5,0
a swt thought get tired of doing little things 4 lovable persons coz somtimes those little things occupy d biggest part in their hearts gud ni8,0,26,2
i know you are can you pls open the back,0,10,0
yes see ya not on the dot,0,7,0
whats the staff name who is taking class for us,0,10,0
freemsg why you replied to my text ii am randy sexy female and live local luv to hear from u netcollex ltd 08700621170150p per msg reply stop to end,1,29,1
ummma will call after check in our life will begin from qatar so pls pray very hard,0,17,0
k i deleted my contact that why,0,7,0
sindu got job in birla soft,0,6,0
the wine is flowing and ii am i have nevering,0,10,0
yup i thk cine is better cos no need 2 go down 2 plaza mah,0,15,2
ok ur typical reply,0,4,0
as per your request i amelle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press 9 to copy your friends callertune,0,27,1
you are everywhere dirt on the floor the windows even on my shirt and sometimes when i open my mouth you are all that comes flowing out i dream of my world without you then half my chores are out too a time of joy for me lots of tv shows i ll see but i guess like all things you just must exist like rain hail and mist and when my time here is done you and i become one,0,81,0
aaooooright are you at work,0,5,0
ii am leaving my house now,0,6,0
hello my love what are you doing did you get to that interview today are you you happy are you being a good boy do you think of me are you missing me,0,33,0
customer service annoncement you have a new years delivery waiting for you please call 07046744435 now to arrange delivery,1,19,1
you are a winner u have been specially selected 2 receive cash or a 4 holiday flights inc speak to a live operator 2 claim 0871277810810,1,26,4
keep yourself safe for me because i need you and i miss you already and i envy everyone that you in real life,0,23,0
new car and house for my parents i have only new job in hand,0,14,0
ii am so in love with you ii am excited each day i spend with you you make me so happy,0,21,0
stop bootydelious 32 f is inviting you to be her friend reply or see her www sms ac u bootydelious stop send stop frnd to 62468,1,26,2
bangbabes ur order is on the way u should receive a service msg 2 download ur content if u do not goto wap bangb tv on ur mobile internet service menu,1,31,1
i place all ur points on e cultures module already,0,10,0
urgent we are trying to contact you last weekends draw shows that you have won a prize guaranteed call 09061701939 claim code s89 valid 12hrs only,1,26,3
hi frnd which is best way to avoid missunderstding wit our beloved,0,12,0
great escape i fancy the bridge but needs her lager see you tomo,0,13,0
yes it completely in out of form clark also utter waste,0,11,0
sir i need axis bank account no and bank address,0,10,0
hmmm thk sure got time to hop ard ya can go 4 free abt muz call u to discuss liao,0,20,1
what time you coming down later,0,6,0
bloody hell cant believe you forgot my surname mr ill give u a clue its spanish and begins with m,0,20,0
well ii am gonna finish my bath now have a good fine night,0,13,0
let me know when got the money so carlos can make the call,0,13,0
u still going to the mall,0,6,0
turns out my friends are staying for the whole show and will not be back til and lt and gt so feel free to go ahead and smoke that and lt and gt worth,0,34,0
text her if she doesnt reply let me know so i can have her log in,0,16,0
hi you just spoke to maneesha v we would like to know if you were satisfied with the experience reply toll free with yes or no,0,26,0
you lifted my hopes with the offer of money i am in need especially when the end of the month approaches and it hurts my studying anyways have a gr8 weekend,0,31,1
lol no u can trust me,0,6,0
ok i am a gentleman and will treat you with dignity and respect,0,13,0
he will you guys close,0,5,0
going on nothing great bye,0,5,0
hello handsome are you finding that job not being lazy working towards getting back that net for mummy my boytoy now does he miss me,0,25,0
haha awesome be there in a minute,0,7,0
please call our customer service representative on freephone 0808 145 4742 between as you have won a guaranteed cash or prize,1,21,3
have you got xmas radio times if not i will get it now,0,13,0
i jus reached home i go bathe first but my sis using net tell u when she finishes k,0,19,0
are you unique enough find out from 30th august www areyouunique co uk,1,13,1
ii am sorry joined the league of people that dont keep in touch you mean a great deal to me you have been a friend at all times even at great personal cost do have a great week,0,38,0
hi finally i completed the course,0,6,0
it will stop on itself i however suggest she stays with someone that will be able to give ors for every stool,0,22,0
how are you doing hope settled in for the new school year just wishin you a gr8 day,0,18,1
gud mrng dear hav a nice day,0,7,0
did u got that persons story,0,6,0
is your hamster dead hey so tmr i meet you at 1pm orchard mrt,0,14,1
hi its kate how is your evening i hope i can see you tomorrow for a bit but i have to bloody babyjontet txt back if u can xxx,0,29,0
found it enc and lt and gt where you at,0,10,0
i sent you and lt and gt bucks,0,8,0
hello darlin ive finished college now so txt me when u finish if u can love kate xxx,0,18,0
your account has been refilled successfully by inr and lt decimal and gt your keralacircle prepaid account balance is rs and lt decimal and gt your transaction id is kr and lt and gt,0,34,0
goodmorning sleeping ga,0,3,0
u call me alter at 11 ok,0,7,1
say until like dat i dun buy ericsson oso cannot oredi lar,0,12,0
as i entered my cabin my pa said happy b woulday boss i felt special she askd me 4 lunch after lunch she invited me to her apartment we went there,0,31,1
aight yo dats straight dogg,0,5,0
you please give us connection today itself before and lt decimal and gt or refund the bill,0,17,0
both i shoot big loads so get ready,0,8,0
up bruv hope you had a great break do have a rewarding semester,0,13,0
home so we can always chat,0,6,0
k k good study well,0,5,0
yup how noe leh,0,4,0
sounds great are you home now,0,6,0
finally the match heading towards draw as your prediction,0,9,0
tired i slept well the past few nights,0,8,0
easy ah sen got selected means its good,0,8,0
i have to take exam with march 3,0,8,1
yeah you should i think you can use your gt atm now to register not sure but if anyway i can help let me know but when you do be sure you are ready,0,34,0
ok no prob take ur time,0,6,0
there is os called ubandu which will run without installing in hard disk you can use that os to copy the important files in system and give it to repair shop,0,31,0
sorry i will call later,0,5,0
u say leh of course nothing happen lar not say v romantic jus a bit only lor i thk e nite scenery not so nice leh,0,26,0
500 new mobiles from 2004 must go txt nokia to no 89545 and collect yours today from only www biz 2optout 087187262701 50gbp mtmsg18,1,24,7
would really appreciate if you call me just need someone to talk to,0,13,0
will u meet ur dream partner soon is ur career off 2 a flyng start 2 find out free txt horo followed by ur star sign e g horo aries,1,30,2
hey company elama po mudyadhu,0,5,0
life is more strict than teacher bcoz teacher teaches lesson and amp then conducts exam but life first conducts exam and amp then teaches lessons happy morning,0,27,0
dear good morning now only i am up,0,8,0
get down in gandhipuram and walk to cross cut road right side and lt and gt street road and turn at first right,0,23,0
dear we are going to our rubber place,0,8,0
sorry battery died yeah ii am here,0,7,0
yes here tv is always available in work place,0,9,0
text and meet someone sexy today u can find a date or even flirt its up to u join 4 just 10p reply with name and age eg sam 25 18 recd thirtyeight pence,1,34,4
i have printed it oh so and lt and gt come upstairs,0,12,0
or ill be a little closer like at the bus stop on the same street,0,15,0
where are you when wil you reach here,0,8,0
new theory argument wins d situation but loses the person so dont argue with ur friends just kick them and amp say ii am always correct,0,26,0
u 447801259231 have a secret admirer who is looking 2 make contact with out who they r reveal who thinks ur so on 09058094597,1,24,3
tomarrow final hearing on my laptop case so i cant,0,10,0
pleassssssseeeeee tel me v avent done sportsx,0,7,0
okay no no just shining on that was meant to be signing but that sounds better,0,16,0
although i told u dat ii am into baig face watches now but i really like e watch u gave cos fr u thanx 4 everything dat done today ii am touched,0,32,1
u do not remember that old commercial,0,7,0
too late i said i have the website i i have or dont have the slippers,0,16,0
i asked you to call him now ok,0,8,0
kallis wont bat in 2nd innings,0,6,1
it didnt work again oh ok goodnight then i ll fix and have it ready by the time you wake up you are very dearly missed have a good night sleep,0,31,0
congratulations ur awarded 500 of cd vouchers or 125gift guaranteed and free entry 2 100 wkly draw txt music to 87066 tncs www ldew com1win150ppmx3age16,1,25,9
ranjith cal drpd deeraj and deepak 5min hold,0,8,1
wen ur lovable bcums angry wid u dnt take it seriously coz being angry is d most childish n true way of showing deep affection care n luv kettoda manda have nice day da,0,34,0
what you doing how are you,0,6,0
ups which is 3days also and the shipping company that takes 2wks the other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff,0,37,2
ii am back lemme know when ready,0,7,0
do not necessarily expect it to be done before you get back though because ii am just now headin out,0,20,0
mmm so yummy babe nice jolt to the suzy,0,9,0
where are you lover i need you,0,7,0
we tried to contact you re your reply to our offer of a video handset 750 anytime networks mins unlimited text camcorder reply or call 08000930705 now,1,27,2
parked next to a mini when are you coming in today do you think,0,14,0
yup,0,1,0
anyway ii am going shopping on my own now cos my sis not done yet dun disturb u liao,0,19,0
my no in luton 0125698789 ring me if ur around h,0,11,1
hey i am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698,1,25,3
why you dint come with us,0,6,0
same wana plan a trip sometme then,0,7,0
not sure yet still trying to get a hold of him,0,11,0
ur ringtone service has changed 25 free credits go to club4mobiles com to choose content now stop txt club stop to 87070 150p wk club4 po box1146 mk45 2wt,1,29,8
the evo i just had to download flash jealous,0,9,0
ringtone club get the uk singles chart on your mobile each week and choose any top quality ringtone this message is free of charge,1,24,0
come to mu sorting out our narcotics situation,0,8,0
night has ended for another day morning has come in a special way may you smile like the sunny rays and leaves your worries at the blue blue bay,0,29,0
hmv bonus special 500 pounds of genuine hmv vouchers to be won just answer 4 easy questions play now send hmv to 86688 more info www com,1,27,3
usf i guess might as well take 1 car,0,9,1
no objection my bf not coming,0,6,0
thanx,0,1,0
tell rob to mack his gf in the theater,0,9,0
awesome i will see you in a bit,0,8,0
just sent it so what type of food do you like,0,11,0
all done all handed in celebrations in full swing yet,0,10,0
you got called a tool,0,5,0
u miss someone,0,3,0
ok i asked for money how far,0,7,0
okie,0,1,0
yeah i think my usual still passed out from last night if you get ahold of anybody let me know and i will throw down,0,25,0
k i might come by tonight then if my class lets out early,0,13,0
ok,0,1,0
hi baby im cruisin with my girl friend what r u up 2 give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx,0,35,1
my life means a lot to me not because i love my life but because i love the people in my life the world calls them friends i call them my world ge,0,33,0
dear shall mail tonite busy in the street shall update you tonite things are looking ok varunnathu edukkukayee raksha ollu but a good one in real sense,0,27,0
hey you told your name to gautham ah,0,8,0
haf u found him i feel so stupid da v cam was working,0,13,0
oops 4 got that bit,0,5,1
are you this much buzy,0,5,0
i accidentally deleted the message resend please,0,7,0
customer you may now claim your free camera phone upgrade and a pay and go sim card for your loyalty call on 0845 021 3680 offer ends 28thfeb t and apply,1,31,4
unless a situation where you go gurl would be more appropriate,0,11,0
hurt me tease me make me cry but in the end of my life when i die plz keep one rose on my grave and say stupid i miss u have a nice day bslvyl,0,35,0
i cant pick the phone right now pls send a message,0,11,0
need a coffee run tomo believe that time of week already,0,11,0
awesome i remember the last time we got somebody high for the first time with diesel v,0,17,0
shit that is really shocking and scary cant imagine for a second def up for night out do u think there is somewhere i could crash for night save on taxi,0,31,0
oh and by the way you do have more food in your fridge want to go out for a meal tonight,0,21,0
he is a womdarfull actor,0,5,0
sms ac blind date 4u rodds1 is 21 m from aberdeen united kingdom check him out http img sms ac w icmb3cktz8r7 no blind dates send hide,1,27,6
yup from what i remb i think should be can book,0,11,0
jos ask if u wana meet up,0,7,0
lol yes our friendship is hanging on a thread cause u will not buy stuff,0,15,0
themob check out our newest selection of content games tones gossip babes and sport keep your mobile fit and funky text wap to 82468,1,24,1
where are the garage keys they on the bookshelf,0,9,0
today is accept day u accept me as brother sister lover dear1 best1 clos1 lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd no rply means enemy,0,25,3
think ur smart win this week in our weekly quiz text play to 85222 now t and cs winnersclub po box 84 m26 3uz 16 gbp1 50 week,1,28,7
he says he will give me a call when his got the money but that definitely buying before the end of the week,0,23,0
hi the way i was with u 2day is the normal way and this is the real me ur unique and i hope i know u 4 the rest of mylife hope u find wot was lost,0,37,2
you made my day do have a great day too,0,10,0
k k advance happy pongal,0,5,0
hmmm guess we can go 4 kb n power yoga haha dunno we can tahan power yoga anot thk got lo oso forgot liao,0,24,1
not really dude have no friends ii am afraid,0,9,0
december only had your mobile 11mths you are entitled to update to the latest colour camera mobile for free call the mobile update co free on 08002986906,1,27,2
coffee cake i guess,0,4,0
merry christmas to you too babe i love ya kisses,0,10,0
hey why dont we just go watch x men and have lunch haha,0,13,0
cud u tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full and im still waitin 4 1 pete x,0,28,4
that would be great we will be at the guild could meet on bristol road or somewhere will get in touch over weekend our plans take flight have a good week,0,31,0
no problem how are you doing,0,6,0
no calls messages missed calls,0,5,0
hi da how is the todays class,0,7,0
i would say a good sign but well you know my track record at reading women,0,16,0
cool text me when parked,0,5,0
ii am reading the text i just sent you its meant to be a joke so read it in that light,0,21,0
k k apo k good movie,0,6,0
maybe i could get book out tomo then return it immediately or something,0,13,0
call germany for only 1 pence per minute call from a fixed line via access number 0844 861 85 85 no prepayment direct access,1,24,5
any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your paperwork not cool at all please do not contact me again or i will report you to your supervisor,0,42,0
valentines day special win over in our quiz and take your partner on the trip of a lifetime send go to 83600 now 150p msg rcvd custcare 08718720201,1,28,3
i am home babe are you still up,0,8,0
cool so how come you havent been wined and dined before,0,11,0
just sleeping and surfing,0,4,0
sorry i will call later,0,5,0
u calling me right call my hand phone,0,8,0
ok great thanx a lot,0,5,0
i take it the post has come then you must have 1000s of texts now happy reading my one from wiv hello caroline at the end is my favourite bless him,0,31,1
where u been hiding stranger,0,5,0
am not interested to do like that,0,7,0
my sister cleared two round in birla soft yesterday,0,9,0
gudnite tc practice going on,0,5,0
dis is yijue i jus saw ur mail in case huiming havent sent u my num dis is my num,0,20,0
one small prestige problem now,0,5,0
fancy a shag i do interested sextextuk com txt xxuk suzy to 69876 txts cost 1 50 per msg tncs on website x,1,23,3
just checking in on you really do miss seeing jeremiah do have a great month,0,15,0
nah help you there never had an iphone,0,8,0
if not in my car in an hour and a half ii am going apeshit,0,15,0
today is sorry day if ever i was angry with you if ever i misbehaved or hurt you plz plz just slap urself bcoz its ur fault ii am basically good,0,31,0
yo you guys ever figure out how much we need for alcohol jay and i are trying to figure out how much we can safely spend on weed,0,28,0
and lt and gt ish minutes was 5 minutes ago wtf,0,11,1
thank you for calling forgot to say happy onam to you sirji i am fine here and remembered you when i met an insurance person meet you in qatar insha allah rakhesh ex tata aig who joined tissco tayseer,0,39,0
congratulations ur awarded 500 of cd vouchers or 125gift guaranteed and free entry 2 100 wkly draw txt music to 87066 tncs www ldew com1win150ppmx3age16,1,25,9
ur is currently 500 pounds to maximize ur now send cash to 86688 only 150p msg cc 08708800282 hg suite342 2lands row w1j6hl,1,23,8
ii am an actor when i work i work in the evening and sleep late since ii am unemployed at the moment i always sleep late when unemployed every day is saturday,0,32,0
hello just got here st its a long way its cold i will keep you posted,0,16,0
ha ha cool cool chikku chikku,0,6,0
oh ok no prob,0,4,0
check status right now,0,4,0
busy here trying to finish for new year i am looking forward to finally meeting you,0,16,0
good afternoon sunshine how dawns that day are we refreshed and happy to be alive do we breathe in the air and smile i think of you my love as always,0,31,0
well i know z will take care of me so no worries,0,12,0
update now xmas offer latest motorola sonyericsson and nokia and free bluetooth double mins and 1000 txt on orange call mobileupd8 on 08000839402 or call2optout f4q,1,26,5
here is your discount code rp176781 to stop further messages reply stop www regalportfolio co uk customer services 08717205546,1,19,2
wat uniform in where get,0,5,0
cool text me when ready,0,5,0
hello my boytoy geeee i miss you already and i just woke up i wish you were here in bed with me cuddling me i love you,0,27,0
i will spoil you in bed as well,0,8,0
ii am going for bath will msg you next and lt and gt min,0,14,0
i cant keep talking to people if am not sure i can pay them if they agree to price so pls tell me what you want to really buy and how much you are willing to pay,0,37,0
thanks for your ringtone order reference t91 you will be charged gbp 4 per week you can unsubscribe at anytime by calling customer services on 09057039994,1,26,3
can you say what happen,0,5,0
you could have seen me i recognise you face,0,9,0
well not a lot of things happening in lindsay on new years sighs some bars in ptbo and the blue heron has something going,0,24,0
keep my payasam there if rinu brings,0,7,0
i taught that ranjith sir called me so only i sms like that becaus hes verifying about project prabu told today so only pa dont mistake me,0,27,0
i guess why you re worried you must know that a way the body repairs itself and ii am quite sure you should not worry we will take it slow first the tests they will guide when your ovulation is then just relax nothing said is a reason to worry but i ll keep on followin you up,0,58,0
yeah sure give me a couple minutes to track down my wallet,0,12,0
hey leave it not a big deal take care,0,9,0
hey i will be late ah meet you at 945,0,10,1
double mins and txts 4 6months free bluetooth on orange available on sony nokia motorola phones call mobileupd8 on 08000839402 or call2optout n9dx,1,23,6
it took mr owl 3 licks,0,6,1
customer place i will call you,0,6,0
mm that time you dont like fun,0,7,0
4mths half price orange line rental and latest camera phones 4 free had your phone 11mths call mobilesdirect free on 08000938767 to update now or2stoptxt,1,25,5
yup having my lunch buffet now u eat already,0,9,0
huh so late fr dinner,0,5,0
hey so this sat are we going for the intro pilates only or the kickboxing too,0,16,0
morning only i can ok,0,5,0
yes i think so i am in office but my lap is in room i think thats on for the last few days i didnt shut that down,0,28,0
pick you up bout 7 30ish what time are and that going,0,12,2
from here after the performance award is calculated every two month not for current one month period,0,17,0
was actually sleeping and still might when u call back so a text is gr8 you rock sis will send u a text wen i wake,0,26,1
you are always putting your business out there you put pictures of your ass on facebook you are one of the most open people ever met why would i think a picture of your room would hurt you make you feel violated,0,42,0
good evening sir al salam wahleykkum sharing a happy news by the grace of god i got an offer from tayseer tissco and i joined hope you are fine inshah allah meet you sometime rakhesh visitor from india,0,38,0
hmmm k but i want to change the field quickly da i wanna get system administrator or network administrator,0,19,0
free ringtone text first to 87131 for a poly or text get to 87131 for a true tone help 0845 2814032 16 after 1st free tones are to txt stop,1,30,6
dear how is chechi did you talk to her,0,9,0
the hair cream has not been shipped,0,7,0
none of happening til you get here though,0,8,0
yep the great loxahatchee xmas tree burning of and lt and gt starts in an hour,0,16,0
haha get used to driving to usf man i know a lot of stoners,0,14,0
all was well until slightly disastrous class this pm with my fav darlings hope day off ok coffee wld be good as stay late tomorrow same time place as always,0,30,0
hello good week fancy a drink or something later,0,9,0
headin towards busetop,0,3,0
message some text missing sender name missing number missing sent date missing missing u a lot thats y everything is missing sent via fullonsms com,0,25,0
come by our room at some point so we can iron out the plan for this weekend,0,17,0
cos i want it to be your thing,0,8,0
okies i will go yan jiu too we can skip ard oso go cine den go mrt one blah blah blah,0,21,0
bring home some wendy d,0,5,0
100 dating service cal l 09064012103 box334sk38ch,1,7,4
whatsup there dont u want to sleep,0,7,0
alright i have a new goal now,0,7,0
free entry into our weekly competition just text the word win to 80086 now 18 t and c www txttowin co uk,1,22,2
alright i will head out in a few minutes text me where to meet you,0,15,0
